COUNCIL,DEPARTMENT,SERVICE,SECTION,TEAM,REASON,FTE_DAYS_LOST,PERIOD_FTE,ABSENCE RATE,HEADCOUNT
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Business Support,NONE,0,5,0,5
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,AR1,6.86,0.8,8.57,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,AR10,2,1,2,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,AR13,6.37,0.57,11.15,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,AR2,3.05,0.2,15.42,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,AR3,23.4,0.6,39,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Admin Support,NONE,0,55.91,0,67
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Debt Team,AR13,5.2,1.91,2.72,2
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Debt Team,AR4,17.27,1.71,10.07,2
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Corporate Debt Team,NONE,0,29.8,0,37
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Council Tax,AR13,6.43,1,6.43,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Council Tax,NONE,0,9.31,0,11
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Finance Service Centre,NONE,0,8.69,0,10
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Support/Cont Development,NONE,0,5,0,5
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Cash & Banking,AR9,14.82,0.5,29.64,1
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Cash & Banking,NONE,0,6.7,0,11
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Corporate Finance,NONE,0,7.89,0,9
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Development & Support,NONE,0,2,0,2
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Education Finance,NONE,0,7,0,9
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Finance & Treasury,NONE,0,2,0,2
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Governance,NONE,0,0.5,0,1
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,HEED Finance,AR4,45,1,45,1
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,HEED Finance,NONE,0,4.3,0,5
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Insurance,NONE,0,2,0,2
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Reconciliations,AR4,6.86,0.86,8,1
West Dunbartonshire Council,Chief Exec Office,Resources,Finance,Reconciliations,NONE,0,3.91,0,5
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Alternatives to Care,NONE,0,13,0,14
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Blairvadach,AR1,1.97,0.66,2.99,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Blairvadach,AR13,1.05,0.53,2,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Blairvadach,AR2,1,1,1,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Blairvadach,NONE,0,13.04,0,15
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Burnside,AR1,76,4,19,3
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Burnside,AR12,36.18,0.67,54.28,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Burnside,AR13,78.04,1.33,58.57,2
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Burnside,AR4,58.62,1.03,57.14,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Burnside,NONE,0,9.66,0,10
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Champions Board,NONE,0,2.86,0,3
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Childcare - Bridge St,AR13,2.39,0.8,3.01,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Childcare - Bridge St,AR4,13.63,0.8,17.14,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Childcare - Bridge St,NONE,0,8.94,0,11
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR1,25.14,2,12.57,2
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR12,40.71,1,40.71,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR13,11.42,2,5.71,2
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR14,5,1,5,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR3,7.3,1.36,5.38,2
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,AR6,65,1,65,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Craigiellachie,NONE,0,8.94,0,11
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,ThroughCare Team,NONE,0,8,0,9
West Dunbartonshire Council,HSCP,Child Health Care & C J,Childcare,Vale of Leven Hospital,NONE,0,1,0,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Alexandria,AR1,1,1,1,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Alexandria,AR14,24.69,0.9,27.43,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Alexandria,AR4,4,1,4,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Alexandria,NONE,0,29.1,0,30
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Clydebank,AR10,26.71,2,13.36,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Clydebank,AR13,18.72,4,4.68,5
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Clydebank,AR9,13.39,0.5,26.78,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Area Team - Clydebank,NONE,0,39.67,0,45
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,CWD,AR1,0.22,0.22,1.02,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,CWD,AR13,11.75,0.51,22.88,3
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,CWD,AR4,15.83,0.27,58.57,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,CWD,NONE,0,4.83,0,9
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Youth Services,AR9,2,1,2,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Youth Services,NONE,0,22.31,0,25
West Dunbartonshire Council,HSCP,Child Health Care & C J,Children & Families,Youth Services:Dumbarton,NONE,0,1.14,0,3
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR1,2.74,0.8,3.43,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR4,51.43,1,51.43,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR5,5,1,5,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR6,31.43,0.8,39.29,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR8,32.32,1.6,20.2,2
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,AR9,6.43,1,6.43,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,Criminal Justice,NONE,0,31.94,0,36
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,DTTO,AR8,13.57,1,13.57,1
West Dunbartonshire Council,HSCP,Child Health Care & C J,Criminal Justice,DTTO,NONE,0,4.66,0,5
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR1,103.3,20.34,5.08,28
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR12,21.99,0.39,56.43,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR13,1714.42,67.97,25.22,101
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR14,2.03,0.41,5.01,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR2,127.4,5.11,24.94,7
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR3,402.37,13.57,29.64,18
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR4,382.35,13.59,28.14,22
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR5,54.06,1.66,32.52,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR6,8.96,0.43,20.72,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR8,3.82,0.18,21.44,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,AR9,352.2,13.61,25.88,19
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Clydebank Home Care,NONE,0,97.94,0,166
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Comm Alarms & Tele-Care,NONE,0,5.71,0,7
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR1,105.26,19.5,5.4,27
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR12,22.5,0.85,26.43,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR13,1480.9,65.25,22.7,91
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR14,10.61,0.68,15.7,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR2,77.28,4.73,16.34,7
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR3,157.45,4.11,38.33,6
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR4,301.27,9.78,30.82,15
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR5,64.03,2.07,30.91,4
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR6,10.19,0.43,23.56,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR7,20.41,1.22,16.78,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR8,96.86,2.41,40.27,4
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,AR9,114.02,4.48,25.45,7
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Dumbarton/VOL Home Care,NONE,0,102.75,0,159
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Gray Street,AR1,4.4,1.5,2.93,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Gray Street,AR13,6.27,0.78,8,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Gray Street,AR14,48.75,0.75,65,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Gray Street,NONE,0,2.86,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Hogan Court,AR13,75.48,1.22,62.06,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Hogan Court,AR3,5,1,5,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Hogan Court,AR4,25.39,0.75,33.85,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Hogan Court,NONE,0,0.59,0,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Home Care Admin,NONE,0,6.85,0,7
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Macmillan,NONE,0,0.92,0,4
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Manse Gardens,AR1,8.06,0.65,12.43,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Manse Gardens,AR13,11.13,1.39,8.01,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Manse Gardens,AR14,8.69,0.72,12.13,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Manse Gardens,NONE,0,1.96,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Melfort Avenue,AR12,65,1,65,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Melfort Avenue,AR8,7.14,1,7.14,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Melfort Avenue,NONE,0,1.43,0,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Mill Road,AR13,81.79,2.8,29.17,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Peripatetic,AR13,2.35,0.78,3,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,R&CH Management,NONE,0,3,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Second Avenue,AR1,3,0.75,4,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Second Avenue,AR13,5.01,0.9,5.58,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Second Avenue,NONE,0,2,0,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Westbridgend,AR1,4,1,4,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Westbridgend,AR13,11.68,1.75,6.67,2
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Westbridgend,AR8,34.93,0.78,44.57,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Westbridgend,NONE,0,1.65,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Willox Park,AR13,65,1,65,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Willox Park,AR3,2.35,0.61,3.86,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Willox Park,NONE,0,1,0,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Young Street,AR13,2.7,0.9,3,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Young Street,AR3,32.14,1,32.14,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Young Street,AR4,24.09,0.43,55.71,1
West Dunbartonshire Council,HSCP,Community Health & Care,Care at Home Services,Young Street,NONE,0,2.65,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Adult Team,AR12,65,1,65,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Adult Team,NONE,0,10.11,0,12
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community - Older People,AR13,29.79,4,7.45,3
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community - Older People,AR4,17.74,2.23,7.96,3
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community - Older People,NONE,0,22.68,0,24
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community Care Admin,AR10,2,1,2,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community Care Admin,AR13,3,1,3,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Community Care Admin,NONE,0,6.32,0,7
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,FIT,AR1,4.29,1,4.29,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,FIT,AR8,28.57,1,28.57,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,FIT,NONE,0,3,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Hospital Discharge,AR9,6.98,0.98,7.14,1
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Hospital Discharge,NONE,0,15.3,0,18
West Dunbartonshire Council,HSCP,Community Health & Care,Community Care,Sensory Imp Team,NONE,0,2.3,0,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Care Home Management,NONE,0,6.91,0,7
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR1,178.61,12.07,14.8,15
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR12,61.3,2.17,28.31,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR13,729.18,37.79,19.3,45
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR14,112.64,7.77,14.5,9
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR2,3.06,0.71,4.28,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR3,51.63,3.86,13.38,5
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR4,297.53,9.27,32.11,12
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR5,76.24,2.3,33.19,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR6,25.19,1.43,17.59,2
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR8,60.63,1.66,36.43,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,AR9,48.58,1.71,28.4,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Crosslet House Care Home,NONE,0,48.2,0,64
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR1,44.81,4.88,9.19,7
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR13,178.9,5.78,30.93,8
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR2,10.5,0.43,24.28,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR3,10.92,0.69,15.71,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR8,86.42,1.86,46.53,2
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,AR9,5.34,0.47,11.42,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Frank Downie,NONE,0,30.9,0,39
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR1,22.58,3.62,6.23,4
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR13,173.63,6.15,28.23,8
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR2,94.8,2.62,36.16,3
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR3,14.15,2.62,5.4,2
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR4,14.89,2,7.45,2
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR5,11.64,0.45,25.71,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR7,5.71,1,5.71,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,AR9,99.26,3.2,31.03,4
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Mount Pleasant,NONE,0,16.19,0,25
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Queen Mary Day Care,AR13,10.47,0.98,10.71,1
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Queen Mary Day Care,AR3,20.91,1.48,14.15,2
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Queen Mary Day Care,AR4,194.68,3.86,50.47,4
West Dunbartonshire Council,HSCP,Community Health & Care,Residential & Care Homes,Queen Mary Day Care,NONE,0,0.81,0,1
West Dunbartonshire Council,HSCP,Finance & Resources,Finance & Resources,Finance & Resources,NONE,0,5.5,0,6
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Addiction Services,CAT - Clydebank,NONE,0,4,0,4
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Addiction Services,CAT - Dumbarton,AR1,1,1,1,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Addiction Services,CAT - Dumbarton,NONE,0,7,0,7
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Bridge Street,AR1,2.32,0.54,4.29,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Bridge Street,AR12,27.8,0.81,34.29,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Bridge Street,AR3,4.29,1,4.29,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Bridge Street,NONE,0,7.99,0,8
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Buchanan Street,NONE,0,6.15,0,7
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Clarence Street,AR13,35.14,0.54,65.01,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Clarence Street,NONE,0,3.11,0,4
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Mollanbowie,AR1,3,1,3,1
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Day Care: Learning Disab,Mollanbowie,AR13,8.34,1.81,4.61,2
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Learning Disability Serv,Beardmore,AR1,29.97,1.93,15.5,2
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Learning Disability Serv,Beardmore,NONE,0,14.64,0,18
West Dunbartonshire Council,HSCP,Mental Health Addic & LD,Learning Disability Serv,Cafe Connect,NONE,0,3.17,0,10
